;-1;-0.8;-0.6;-0.4;-0.2;0;0.2;0.4;0.6;0.8;1
Member 1;-0.05;-0.05;-0.04;-0.04;-0.03;-0.03;-0.02;-0.02;-0.01;-0.01;0.00
Member 2;-0.05;-0.05;-0.04;-0.04;-0.03;-0.03;-0.02;-0.02;-0.01;-0.01;0.00
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;-1;-0.8;-0.6;-0.4;-0.2;0;0.2;0.4;0.6;0.8;1
Member 1;-5.60E-02;-4.65E-02;-3.79E-02;-3.01E-02;-2.32E-02;-1.72E-02;-1.20E-02;-7.72E-03;-4.28E-03;-1.71E-03;0.00E+00
Member 9;-5.60E-02;-4.50E-02;-3.52E-02;-2.66E-02;-1.92E-02;-1.30E-02;-8.02E-03;-4.22E-03;-1.61E-03;-2.06E-04;0.00E+00
